"species","maxLat","minLat","EA_0.25_cells"
"Tsuga_forrestii",30.0553,26.68422,14
"Tsuga_heterophylla",59.45,40.845,76
"Tsuga_mertensiana",61.24,37.2197,68
"Tsuga_sieboldii",36.5747,32.21,14
"Widdringtonia_cedarbergensis",-32.17076944,-32.62583889,3
"Widdringtonia_nodiflora",-19.7,-33.97,13
"Widdringtonia_schwarzii",-33.125,-33.98,11
"Widdringtonia_whytei",-15.32,-16,3
"Wollemia_nobilis",-33.46727222,-33.46727222,1
"Xanthocyparis_nootkatensis",62.481896,-44.098349,254
"Xanthocyparis_vietnamensis",23.13,23.092333,1
